city,year,weekofyear,total_cases
sj,2010,42,52
sj,2010,43,52
sj,2010,44,51
sj,2010,45,52
sj,2010,46,51
sj,2010,47,48
sj,2010,48,48
sj,2010,49,50
sj,2010,50,51
sj,2010,51,48
sj,2011,52,14
sj,2011,1,13
sj,2011,2,13
sj,2011,3,14
sj,2011,4,15
sj,2011,5,16
sj,2011,6,15
sj,2011,7,12
sj,2011,8,12
sj,2011,9,13
sj,2011,10,13
sj,2011,11,12
sj,2011,12,12
sj,2011,13,9
sj,2011,14,10
sj,2011,15,11
sj,2011,16,12
sj,2011,17,11
sj,2011,18,9
sj,2011,19,7
sj,2011,20,9
sj,2011,21,11
sj,2011,22,13
sj,2011,23,11
sj,2011,24,18
sj,2011,25,16
sj,2011,26,29
sj,2011,27,40
sj,2011,28,31
sj,2011,29,27
sj,2011,30,36
sj,2011,31,32
sj,2011,32,36
sj,2011,33,35
sj,2011,34,35
sj,2011,35,29
sj,2011,36,25
sj,2011,37,33
sj,2011,38,25
sj,2011,39,30
sj,2011,40,32
sj,2011,41,41
sj,2011,42,31
sj,2011,43,26
sj,2011,44,38
sj,2011,45,31
sj,2011,46,26
sj,2011,47,24
sj,2011,48,21
sj,2011,49,18
sj,2011,50,18
sj,2011,51,14
sj,2012,52,10
sj,2012,1,13
sj,2012,2,10
sj,2012,3,10
sj,2012,4,14
sj,2012,5,13
sj,2012,6,13
sj,2012,7,13
sj,2012,8,14
sj,2012,9,13
sj,2012,10,13
sj,2012,11,13
sj,2012,12,13
sj,2012,13,6
sj,2012,14,5
sj,2012,15,5
sj,2012,16,5
sj,2012,17,5
sj,2012,18,5
sj,2012,19,5
sj,2012,20,6
sj,2012,21,6
sj,2012,22,7
sj,2012,23,9
sj,2012,24,13
sj,2012,25,15
sj,2012,26,26
sj,2012,27,27
sj,2012,28,24
sj,2012,29,24
sj,2012,30,38
sj,2012,31,23
sj,2012,32,31
sj,2012,33,39
sj,2012,34,39
sj,2012,35,24
sj,2012,36,18
sj,2012,37,18
sj,2012,38,73
sj,2012,39,63
sj,2012,40,93
sj,2012,41,83
sj,2012,42,99
sj,2012,43,93
sj,2012,44,63
sj,2012,45,77
sj,2012,46,68
sj,2012,47,79
sj,2012,48,94
sj,2012,49,94
sj,2012,50,64
sj,2012,51,63
sj,2013,1,47
sj,2013,2,43
sj,2013,3,44
sj,2013,4,42
sj,2013,5,43
sj,2013,6,42
sj,2013,7,42
sj,2013,8,42
sj,2013,9,42
sj,2013,10,44
sj,2013,11,42
sj,2013,12,44
sj,2013,13,47
sj,2013,14,38
sj,2013,15,78
sj,2013,16,86
sj,2013,17,93
iq,2010,26,5
iq,2010,27,4
iq,2010,28,6
iq,2010,29,3
iq,2010,30,2
iq,2010,31,1
iq,2010,32,2
iq,2010,33,1
iq,2010,34,1
iq,2010,35,2
iq,2010,36,1
iq,2010,37,2
iq,2010,38,4
iq,2010,39,4
iq,2010,40,2
iq,2010,41,3
iq,2010,42,5
iq,2010,43,5
iq,2010,44,8
iq,2010,45,8
iq,2010,46,9
iq,2010,47,8
iq,2010,48,7
iq,2010,49,9
iq,2010,50,9
iq,2010,51,7
iq,2011,52,7
iq,2011,1,5
iq,2011,2,5
iq,2011,3,5
iq,2011,4,3
iq,2011,5,5
iq,2011,6,6
iq,2011,7,7
iq,2011,8,9
iq,2011,9,10
iq,2011,10,10
iq,2011,11,9
iq,2011,12,9
iq,2011,13,8
iq,2011,14,7
iq,2011,15,8
iq,2011,16,8
iq,2011,17,7
iq,2011,18,7
iq,2011,19,4
iq,2011,20,3
iq,2011,21,3
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,1
iq,2011,26,1
iq,2011,27,1
iq,2011,28,1
iq,2011,29,1
iq,2011,30,1
iq,2011,31,1
iq,2011,32,1
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,2
iq,2011,37,1
iq,2011,38,1
iq,2011,39,2
iq,2011,40,4
iq,2011,41,7
iq,2011,42,8
iq,2011,43,11
iq,2011,44,8
iq,2011,45,8
iq,2011,46,8
iq,2011,47,9
iq,2011,48,8
iq,2011,49,7
iq,2011,50,10
iq,2011,51,10
iq,2012,52,8
iq,2012,1,8
iq,2012,2,10
iq,2012,3,8
iq,2012,4,6
iq,2012,5,9
iq,2012,6,9
iq,2012,7,6
iq,2012,8,5
iq,2012,9,4
iq,2012,10,6
iq,2012,11,3
iq,2012,12,3
iq,2012,13,6
iq,2012,14,4
iq,2012,15,5
iq,2012,16,7
iq,2012,17,8
iq,2012,18,8
iq,2012,19,5
iq,2012,20,7
iq,2012,21,3
iq,2012,22,2
iq,2012,23,2
iq,2012,24,3
iq,2012,25,2
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,2
iq,2012,33,2
iq,2012,34,3
iq,2012,35,1
iq,2012,36,1
iq,2012,37,2
iq,2012,38,2
iq,2012,39,2
iq,2012,40,1
iq,2012,41,3
iq,2012,42,4
iq,2012,43,7
iq,2012,44,8
iq,2012,45,8
iq,2012,46,8
iq,2012,47,9
iq,2012,48,8
iq,2012,49,9
iq,2012,50,9
iq,2012,51,8
iq,2013,1,7
iq,2013,2,7
iq,2013,3,7
iq,2013,4,9
iq,2013,5,5
iq,2013,6,9
iq,2013,7,10
iq,2013,8,9
iq,2013,9,10
iq,2013,10,10
iq,2013,11,8
iq,2013,12,9
iq,2013,13,8
iq,2013,14,7
iq,2013,15,8
iq,2013,16,6
iq,2013,17,8
iq,2013,18,4
iq,2013,19,6
iq,2013,20,6
iq,2013,21,3
iq,2013,22,4
iq,2013,23,5
iq,2013,24,3
iq,2013,25,2
iq,2013,26,1
